Linux 7.1.12-200.fc44.x86_64 (fedora) 	06/09/26 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:32 PM IST  1000     37042    2.00    1.00    0.00    0.00    3.00     5      5.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:33 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:34 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58660   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:35 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:36 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:37 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:38 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:39 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      5.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:40 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      5.00      0.00 2919300   58788   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:41 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   58916   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:42 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59044   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:43 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   59044   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:44 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   59044   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:45 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59172   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:46 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59300   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:47 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   59428   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:48 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59428   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:49 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59428   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:50 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59556   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:51 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59556   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:52 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59556   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:53 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:54 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:55 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:56 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:57 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:58 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     25.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:02:59 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     22.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:00 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     50.00      0.00 2919300   59812   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:01 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      7.00      0.00 2919300   59940   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:02 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     13.00      0.00 2919300   59940   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:03 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5     26.00      0.00 2919300   60196   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:04 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60196   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:05 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60324   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:06 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   60324   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:07 PM IST  1000     37042    3.00    1.00    0.00    0.00    4.00     5      5.00      0.00 2919300   60136   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:08 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59872   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:09 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   59872   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:10 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   59872   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:11 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   59872   0.37  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:12 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:13 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:14 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:15 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:16 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      7.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:17 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   60000   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:18 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:19 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      4.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:20 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:21 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:22 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:23 PM IST  1000     37042    1.98    0.00    0.00    0.00    1.98     5      6.93      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:24 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:25 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:26 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:27 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60128   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:28 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:29 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:30 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      4.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:31 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:32 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:33 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:34 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:35 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:36 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:37 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:38 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:39 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:40 PM IST  1000     37042    0.00    1.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:41 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:42 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:43 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:44 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:45 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      7.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:46 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:47 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:48 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:49 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60256   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:50 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5     14.00      0.00 2919300   60384   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:51 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60384   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:52 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60384   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:53 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60384   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:54 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60384   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:55 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:56 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:57 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:58 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:03:59 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:00 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60512   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:01 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60640   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:02 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      5.00      0.00 2919300   60640   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:03 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60640   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:04 PM IST  1000     37042    3.00    0.00    0.00    0.00    3.00     5      5.00      0.00 2919300   60640   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:05 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   60768   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:06 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:07 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      6.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:08 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      4.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:09 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:10 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:11 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:12 PM IST  1000     37042    1.00    1.00    0.00    0.00    2.00     5      5.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:13 PM IST  1000     37042    0.00    0.00    0.00    0.00    0.00     5      4.00      0.00 2919300   60896   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:14 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61024   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:15 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61152   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:16 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:17 PM IST  1000     37042    2.00    0.00    0.00    0.00    2.00     5      6.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:18 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:19 PM IST  1000     37042    2.00    1.00    0.00    0.00    3.00     5      7.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:20 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      5.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:21 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61280   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:04:22 PM IST  1000     37042    1.00    0.00    0.00    0.00    1.00     5      6.00      0.00 2919300   61408   0.38  race-control

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
